mex_muni,value
"san francisco de conchos, chihuahua",5
"chicomuselo, chiapas",5
"santo domingo nuxaa, oaxaca",3
"amatlan de canas, nayarit",8
"villa gonzalez ortega, zacatecas",7
"santo domingo tonaltepec, oaxaca",2
"guadalupe, puebla",6
"santa maria chachoapam, oaxaca",4
"tianguistengo, hidalgo",4
"queretaro, queretaro arteaga",5
"zapotitlan de mendez, puebla",4
"santos reyes papalo, oaxaca",2
"san andres huayapam, oaxaca",8
"suchiate, chiapas",1
"gutierrez zamora, veracruz de ignacio de la llave",5
"la barca, jalisco",9
"san mateo yoloxochitlan, oaxaca",4
"rayun, chiapas",1
"san francisco del rincun, guanajuato",5
"ciudad del maiz, san luis potosi",7
"cosamaloapan de carpio, veracruz de ignacio de la llave",5
"san antonio canada, puebla",8
"san javier, sonora",7
"santa maria cortijo, oaxaca",2
"iztacalco, distrito federal",5
"jaral del progreso, guanajuato",4
"gral. escobedo, nuevo leun",4
"bokoba, yucatan",4
"rio grande, zacatecas",1
"mariano escobedo, veracruz de ignacio de la llave",1
"otumba, mexico",2
"zontecomatlan de lupez y fuentes, veracruz de ignacio de la llave",9
"venustiano carranza, chiapas",5
"pilcaya, guerrero",2
"cienega de zimatlan, oaxaca",4
"san jerunimo tlacochahuaya, oaxaca",2
"santa maria jacatepec, oaxaca",0
"tlapanala, puebla",5
"cuautinchan, puebla",1
"san pedro mixtepec   dto. 22  , oaxaca",6
"santa maria yalina, oaxaca",7
"san pablo cuatro venados, oaxaca",8
"pahuatlan, puebla",1
"totolac, tlaxcala",3
"muxupip, yucatan",6
"ahualulco, san luis potosi",7
"nadadores, coahuila de zaragoza",3
"mineral del chico, hidalgo",4
"santa maria temaxcalapa, oaxaca",2
"villa juarez, san luis potosi",8
"armadillo de los infante, san luis potosi",5
"villa aldama, veracruz de ignacio de la llave",6
"puruandiro, michoacan de ocampo",6
"xochiatipan, hidalgo",9
"churintzio, michoacan de ocampo",6
"el oro, mexico",9
"jolalpan, puebla",0
"coyoacan, distrito federal",4
"tecamachalco, puebla",5
"venado, san luis potosi",7
"tahmek, yucatan",8
"colun, queretaro arteaga",7
"la piedad, michoacan de ocampo",7
"san francisco ozolotepec, oaxaca",4
"tlalixcoyan, veracruz de ignacio de la llave",5
"tlajomulco de zuniga, jalisco",7
"ojinaga, chihuahua",0
"san agustin de las juntas, oaxaca",1
"tlilapan, veracruz de ignacio de la llave",9
"oxkutzcab, yucatan",4
"tecpan de galeana, guerrero",5
"atexcal, puebla",3
"ruiz, nayarit",3
"luis moya, zacatecas",0
"sombrerete, zacatecas",1
"vega de alatorre, veracruz de ignacio de la llave",4
"huehuetoca, mexico",1
"gral. trevino, nuevo leun",3
"magdalena tequisistlan, oaxaca",6
"santa maria la asunciun, oaxaca",0
"amatitlan, veracruz de ignacio de la llave",5
"juchitan de zaragoza, oaxaca",5
"xochiapulco, puebla",9
"san lorenzo albarradas, oaxaca",3
"otzoloapan, mexico",0
"ixcamilpa de guerrero, puebla",4
"venustiano carranza, michoacan de ocampo",3
"magdalena teitipac, oaxaca",1
"santiago sochiapan, veracruz de ignacio de la llave",9
"temozun, yucatan",3
"san juan lalana, oaxaca",9
"uman, yucatan",8
"victoria, tamaulipas",5
"guazapares, chihuahua",6
"santiago apustol, oaxaca",0
"benito juarez, quintana roo",4
"jesus maria, jalisco",7
"imuris, sonora",6
"yaxe, oaxaca",2
"san miguel del rio, oaxaca",8
"san andres cholula, puebla",7
"almoloya del rio, mexico",7
"puente nacional, veracruz de ignacio de la llave",8
"miguel hidalgo, distrito federal",5
"santiago tilantongo, oaxaca",5
"zapotlan el grande, jalisco",4
"opodepe, sonora",3
"abejones, oaxaca",2
"ciudad ixtepec, oaxaca",4
"santa catarina minas, oaxaca",8
"san juan del rio, oaxaca",1
"molango de escamilla, hidalgo",4
"chiautla, puebla",7
"cuautitlan de garcia barragan, jalisco",2
"tlapa de comonfort, guerrero",2
"salvador escalante, michoacan de ocampo",3
"samahil, yucatan",6
"santa maria ipalapa, oaxaca",5
"zumpango, mexico",3
"tianguistenco, mexico",0
"tamazula de gordiano, jalisco",3
"panindicuaro, michoacan de ocampo",7
"salina cruz, oaxaca",7
"temusachic, chihuahua",5
"san pablo macuiltianguis, oaxaca",4
"texcoco, mexico",3
"san juan guelavia, oaxaca",1
"oxchuc, chiapas",1
"santo domingo armenta, oaxaca",4
"san cristubal suchixtlahuaca, oaxaca",0
"el mante, tamaulipas",6
"cienega de flores, nuevo leun",9
"san andres teotilalpam, oaxaca",5
"ixtepec, puebla",9
"san pedro tapanatepec, oaxaca",9
"tonala, chiapas",8
"zacualpan, mexico",9
"puebla, puebla",8
"tarandacuao, guanajuato",8
"san jerunimo sosola, oaxaca",5
"san miguel aloapam, oaxaca",2
"allende, coahuila de zaragoza",4
"campeche-yucatan, campeche-yucatan",6
"xochicoatlan, hidalgo",2
"coxcatlan, san luis potosi",1
"cocotitlan, mexico",5
"alvaro obregun, distrito federal",5
"soledad de graciano sanchez, san luis potosi",9
"san juan ihualtepec, oaxaca",6
"arroyo seco, queretaro arteaga",8
"san diego la mesa tochimiltzingo, puebla",0
"mazatecochco de jose maria morelos, tlaxcala",1
"saltabarranca, veracruz de ignacio de la llave",1
"meoqui, chihuahua",5
"oaxaca de juarez, oaxaca",1
"san mateo etlatongo, oaxaca",8
"morelos, zacatecas",2
"tejupilco, mexico",0
"san juan bautista tuxtepec, oaxaca",3
"huiloapan de cuauhtemoc, veracruz de ignacio de la llave",1
"santa catarina juquila, oaxaca",1
"alfajayucan, hidalgo",3
"cohuecan, puebla",5
"susupuato, michoacan de ocampo",3
"matehuala, san luis potosi",5
"telchac pueblo, yucatan",9
"zimapan, hidalgo",7
"ignacio zaragoza, chihuahua",4
"villa de tezontepec, hidalgo",3
"actopan, veracruz de ignacio de la llave",5
"vallecillo, nuevo leun",4
"tunkas, yucatan",6
"tepeji del rio de ocampo, hidalgo",1
"tepetzintla, veracruz de ignacio de la llave",3
"tlahuapan, puebla",4
"san juan huactzinco, tlaxcala",7
"santiago atitlan, oaxaca",3
"san francisco cahuacua, oaxaca",5
"santa isabel cholula, puebla",9
"san juan bautista jayacatlan, oaxaca",7
"vicente guerrero, puebla",5
"san luis del cordero, durango",6
"mazatlan villa de flores, oaxaca",0
"san esteban atatlahuca, oaxaca",2
"benito juarez, distrito federal",0
"huitziltepec, puebla",6
"susticacan, zacatecas",4
"juchique de ferrer, veracruz de ignacio de la llave",3
"campeche-quintana roo, campeche-quintana roo",4
"el limun, jalisco",8
"tequila, jalisco",7
"teoloyucan, mexico",3
"el marques, queretaro arteaga",4
"pichucalco, chiapas",2
"dr. gonzalez, nuevo leun",3
"san lucas tecopilco, tlaxcala",3
"santiago texcalcingo, oaxaca",4
"san pedro, coahuila de zaragoza",3
"san andres dinicuiti, oaxaca",3
"san miguel chicahua, oaxaca",6
"morelos, chihuahua",9
"san nicolas buenos aires, puebla",9
"yajalun, chiapas",4
"ocuituco, morelos",9
"zaragoza, puebla",2
"bavispe, sonora",7
"matamoros, tamaulipas",7
"zimatlan de alvarez, oaxaca",8
"tlaxco, puebla",8
"santiago niltepec, oaxaca",2
"tlacoapa, guerrero",0
"maltrata, veracruz de ignacio de la llave",2
"tekom, yucatan",0
"mier y noriega, nuevo leun",6
"guanajuato, guanajuato",7
"quiriego, sonora",4
"abasolo, nuevo leun",7
"fronteras, sonora",9
"santo tomas ocotepec, oaxaca",6
"santiago tetepec, oaxaca",8
"la reforma, oaxaca",7
"santiago huajolotitlan, oaxaca",1
"pueblo nuevo, guanajuato",1
"hueyapan, puebla",1
"san luis acatlan, guerrero",4
"aconchi, sonora",6
"curdoba, veracruz de ignacio de la llave",4
"bustamante, tamaulipas",1
"san juan bautista suchitepec, oaxaca",8
"villa hidalgo, san luis potosi",3
"san rafael, veracruz de ignacio de la llave",4
"morelia, michoacan de ocampo",4
"soyalu, chiapas",0
"san pedro mixtepec - dto. 22 -, oaxaca",2
"san dimas, durango",9
"temapache, veracruz de ignacio de la llave",8
"san fernando, tamaulipas",9
"erongaricuaro, michoacan de ocampo",6
"yobain, yucatan",1
"tlalchapa, guerrero",4
"malinaltepec, guerrero",2
"san juan mixtepec   dto. 08  , oaxaca",1
"saucillo, chihuahua",9
"ocotepec, chiapas",7
"general enrique estrada, zacatecas",0
"heroica ciudad de ejutla de crespo, oaxaca",0
"ocoyoacac, mexico",1
"landa de matamoros, queretaro arteaga",2
"santa cruz tacahua, oaxaca",2
"santo domingo tehuantepec, oaxaca",0
"tuzantan, chiapas",4
"luvianos, mexico",8
"acajete, puebla",0
"san martin toxpalan, oaxaca",3
"ocosingo, chiapas",8
"huixtan, chiapas",2
"tlahuac, distrito federal",6
"uniun de san antonio, jalisco",9
"santiago juxtlahuaca, oaxaca",5
"san luis amatlan, oaxaca",9
"san juan bautista valle nacional, oaxaca",3
"villa de chilapa de diaz, oaxaca",4
"amatenango del valle, chiapas",8
"valle de chalco solidaridad, mexico",9
"heroica ciudad de huajuapan de leun, oaxaca",6
"ayutla, jalisco",3
"guemez, tamaulipas",7
"armeria, colima",0
"acayucan, veracruz de ignacio de la llave",6
"buctzotz, yucatan",2
"san francisco ixhuatan, oaxaca",9
"santiago del rio, oaxaca",7
"guelatao de juarez, oaxaca",7
"tonanitla, mexico",0
"magdalena ocotlan, oaxaca",5
"gumez farias, jalisco",7
"santa ana nopalucan, tlaxcala",7
"ocampo, michoacan de ocampo",7
"guadalupe victoria, durango",4
"acaxochitlan, hidalgo",4
"san juan de sabinas, coahuila de zaragoza",3
"centro, tabasco",2
"pihuamo, jalisco",2
"pisaflores, hidalgo",8
"nacozari de garcia, sonora",1
"san juan tabaa, oaxaca",6
"san juan yatzona, oaxaca",4
"san pedro martir quiechapa, oaxaca",9
"miacatlan, morelos",8
"batopilas, chihuahua",6
"amozoc, puebla",3
"san miguel chimalapa, oaxaca",9
"huazalingo, hidalgo",8
"xichu, guanajuato",0
"tetela de ocampo, puebla",4
"san jose del rincun, mexico",8
"los cabos, baja california sur",9
"san pedro teutila, oaxaca",8
"la libertad, chiapas",4
"rojas de cuauhtemoc, oaxaca",3
"xochihuehuetlan, guerrero",8
"genaro codina, zacatecas",9
"escuinapa, sinaloa",3
"tenampulco, puebla",0
"naranjal, veracruz de ignacio de la llave",9
"san felipe teotlalcingo, puebla",8
"san juan colorado, oaxaca",8
"guadalcazar, san luis potosi",2
"santiago nundiche, oaxaca",4
"tuxcacuesco, jalisco",9
"ozumba, mexico",1
"santiago el pinar, chiapas",2
"temamatla, mexico",5
"gumez palacio, durango",0
"petatlan, guerrero",8
"xicotencatl, tamaulipas",8
"teabo, yucatan",8
"san juan atepec, oaxaca",2
"zapotitlan palmas, oaxaca",0
"san jorge nuchita, oaxaca",3
"tenampa, veracruz de ignacio de la llave",7
"santa catarina, guanajuato",1
"bacoachi, sonora",7
"mecayapan, veracruz de ignacio de la llave",5
"san pedro comitancillo, oaxaca",4
"cuauhtemoc, zacatecas",6
"la magdalena contreras, distrito federal",5
"namiquipa, chihuahua",7
"tecamac, mexico",4
"moyahua de estrada, zacatecas",3
"calkini, campeche",1
"coyame del sotol, chihuahua",6
"florencio villarreal, guerrero",3
"san juan numi, oaxaca",7
"chiconcuac, mexico",4
"santiago jamiltepec, oaxaca",6
"ozuluama de mascarenas, veracruz de ignacio de la llave",7
"tepeaca, puebla",7
"tenejapa, chiapas",7
"san antonio huitepec, oaxaca",2
"acatlan, puebla",6
"mococha, yucatan",0
"kantunil, yucatan",2
"san felipe orizatlan, hidalgo",8
"santa ana ateixtlahuaca, oaxaca",4
"tanetze de zaragoza, oaxaca",0
"sahuaripa, sonora",0
"la independencia, chiapas",2
"eloxochitlan, hidalgo",0
"santa ana tlapacoyan, oaxaca",2
"santiago yucuyachi, oaxaca",8
"acambaro, guanajuato",0
"santa cruz quilehtla, tlaxcala",7
"teotitlan de flores magun, oaxaca",2
"matias romero avendano, oaxaca",6
"jesus carranza, veracruz de ignacio de la llave",1
"santiago tapextla, oaxaca",3
"yaxcaba, yucatan",5
"san pablo huitzo, oaxaca",5
"eloxochitlan, puebla",9
"santiago chazumba, oaxaca",5
"atenguillo, jalisco",1
"san jose chiapa, puebla",4
"santa maria colotepec, oaxaca",5
"santa maria del tule, oaxaca",4
"urique, chihuahua",1
"santa maria totolapilla, oaxaca",8
"san juan evangelista, veracruz de ignacio de la llave",5
"sabinas hidalgo, nuevo leun",0
"comalcalco, tabasco",4
"orizaba, veracruz de ignacio de la llave",4
"tumbiscatio, michoacan de ocampo",5
"cosautlan de carvajal, veracruz de ignacio de la llave",8
"tonaya, jalisco",3
"la pe, oaxaca",6
"san antonio la isla, mexico",7
"santiago nejapilla, oaxaca",2
"chinipas, chihuahua",3
"xico, veracruz de ignacio de la llave",8
"tetiz, yucatan",5
"nuevo urecho, michoacan de ocampo",8
"jilotepec, veracruz de ignacio de la llave",8
"ahuehuetitla, puebla",5
"ameca, jalisco",9
"san martin texmelucan, puebla",3
"frontera, coahuila de zaragoza",9
"acatlan, veracruz de ignacio de la llave",4
"san francisco de los romo, aguascalientes",6
"tlahuelilpan, hidalgo",4
"azoyu, guerrero",1
"tula de allende, hidalgo",2
"san raymundo jalpan, oaxaca",5
"teocelo, veracruz de ignacio de la llave",8
"lerdo, durango",2
"tierra blanca, guanajuato",7
"francisco i. madero, hidalgo",5
"purisima del rincun, guanajuato",3
"otzolotepec, mexico",6
"jimenez, tamaulipas",7
"camocuautla, puebla",0
"el naranjo, san luis potosi",8
"benito juarez, zacatecas",0
"coneto de comonfort, durango",7
"yuriria, guanajuato",5
"magdalena zahuatlan, oaxaca",1
"bejucal de ocampo, chiapas",3
"hueytamalco, puebla",2
"miahuatlan de porfirio diaz, oaxaca",3
"aquila, michoacan de ocampo",5
"magdalena apasco, oaxaca",9
"rincun de romos, aguascalientes",1
"tenosique, tabasco",1
"el grullo, jalisco",6
"calpulalpan, tlaxcala",7
"tototlan, jalisco",9
"tzintzuntzan, michoacan de ocampo",5
"rafael lara grajales, puebla",7
"totolapan, morelos",7
"huatusco, veracruz de ignacio de la llave",5
"san antonino castillo velasco, oaxaca",4
"miguel aleman, tamaulipas",4
"san pedro lagunillas, nayarit",5
"turicato, michoacan de ocampo",6
"santo domingo chihuitan, oaxaca",4
"tampico alto, veracruz de ignacio de la llave",1
"sultepec, mexico",1
"villa garcia, zacatecas",7
"santiago tuxtla, veracruz de ignacio de la llave",2
"macuspana, tabasco",5
"heroica ciudad de tlaxiaco, oaxaca",1
"sierra mojada, coahuila de zaragoza",5
"charapan, michoacan de ocampo",2
"huehuetlan el grande, puebla",0
"jalpa de mendez, tabasco",3
"chalchihuitan, chiapas",7
"amatlan de los reyes, veracruz de ignacio de la llave",0
"chigmecatitlan, puebla",4
"huehuetlan el chico, puebla",2
"atil, sonora",0
"zamora, michoacan de ocampo",3
"tinum, yucatan",4
"san juan bautista tlachichilco, oaxaca",9
"la misiun, hidalgo",5
"xicotepec, puebla",6
"tamazulapam del espiritu santo, oaxaca",6
"coquimatlan, colima",0
"tzompantepec, tlaxcala",8
"coahuitlan, veracruz de ignacio de la llave",4
"salvador alvarado, sinaloa",8
"uayma, yucatan",4
"quintana roo yucatan, quintana roo yucatan",8
"villa diaz ordaz, oaxaca",2
"santa catarina ixtepeji, oaxaca",6
"yanga, veracruz de ignacio de la llave",0
"zacatelco, tlaxcala",8
"tetlatlahuca, tlaxcala",5
"choix, sinaloa",6
"arteaga, michoacan de ocampo",9
"axtla de terrazas, san luis potosi",2
"juarez, chihuahua",2
"chanal, chiapas",7
"paso de ovejas, veracruz de ignacio de la llave",8
"jala, nayarit",0
"tezoatlan de segura y luna, oaxaca",8
"celestun, yucatan",3
"san francisco jaltepetongo, oaxaca",1
"san francisco cajonos, oaxaca",5
"zirandaro, guerrero",0
"chiconquiaco, veracruz de ignacio de la llave",8
"san marcos, jalisco",0
"xoxocotla, veracruz de ignacio de la llave",5
"tarimbaro, michoacan de ocampo",5
"camargo, chihuahua",5
"jose azueta, veracruz de ignacio de la llave",6
"alpatlahuac, veracruz de ignacio de la llave",2
"lamadrid, coahuila de zaragoza",0
"naranjos amatlan, veracruz de ignacio de la llave",1
"naupan, puebla",4
"nopaltepec, mexico",1
"san luis rio colorado, sonora",9
"coyotepec, mexico",4
"chochola, yucatan",2
"san francisco chindua, oaxaca",9
"san francisco tlapancingo, oaxaca",7
"mezquital del oro, zacatecas",3
"yecora, sonora",9
"chucandiro, michoacan de ocampo",2
"natividad, oaxaca",0
"angangueo, michoacan de ocampo",1
"santiago tillo, oaxaca",7
"lazaro cardenas, quintana roo",7
"san juan tepeuxila, oaxaca",4
"calotmul, yucatan",2
"acateno, puebla",9
"salinas victoria, nuevo leun",8
"huimanguillo, tabasco",5
"quimixtlan, puebla",9
"san francisco nuxano, oaxaca",0
"naucalpan de juarez, mexico",2
"santiago ixtayutla, oaxaca",0
"san jose del penasco, oaxaca",5
"san martin chalchicuautla, san luis potosi",6
"san martin huamelulpam, oaxaca",1
"balleza, chihuahua",3
"santa ana tavela, oaxaca",5
"zapotitlan tablas, guerrero",7
"chalchicomula de sesma, puebla",4
"hueyapan de ocampo, veracruz de ignacio de la llave",2
"isidro fabela, mexico",6
"valparaiso, zacatecas",8
"quintana roo-yucatan, quintana roo-yucatan",4
"san miguel amatlan, oaxaca",8
"santa ana del valle, oaxaca",8
"coatzingo, puebla",5
"san andres ixtlahuaca, oaxaca",8
"san felipe tepatlan, puebla",9
"kaua, yucatan",7
